City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,tanhacu,-14.0214,-41.2481,29.62,39,100,5.54,BR,1730745002
312,pokhara,28.2333,83.9833,15.93,84,93,1.32,NP,1730745003
313,niksic,42.7731,18.9445,8.49,53,32,2.79,ME,1730745005
314,toliara,-23.35,43.6667,24.49,86,0,0.83,MG,1730745006
315,paita,-5.0892,-81.1144,21.48,74,25,7.82,PE,1730745007
316,hasaki,35.7333,140.8333,20.31,71,60,4.8,JP,1730745009
317,kyren,51.6828,102.1408,-2.59,59,87,1.26,RU,1730745010
318,plastun,44.7561,136.2939,-4.09,81,10,2.74,RU,1730745013
319,highland springs,37.546,-77.3278,18.93,67,75,0.89,US,1730745014
320,inhambane,-23.865,35.3833,24.99,88,20,5.14,MZ,1730745015
321,shetpe,44.1667,52.1167,4.81,65,0,2.66,KZ,1730745016
322,pisco,-13.7,-76.2167,23.03,64,0,6.17,PE,1730745017
323,yanam,16.7333,82.2167,23.63,77,25,1.2,IN,1730745018
324,isiro,2.7739,27.616,19.63,99,100,0.22,CD,1730745019
325,ibicui,-14.8417,-39.9867,29.63,37,100,4.44,BR,1730745021
326,cuyo,10.8525,121.0086,28.15,77,81,7.36,PH,1730745022
327,al ghayzah,16.2079,52.176,27.3,71,22,3.4,YE,1730745023
328,ta`u,-14.2336,-169.5144,27.61,83,100,4.96,AS,1730745024
329,saint-pierre,-21.3393,55.4781,23.82,78,20,1.54,RE,1730745025
330,jilib,0.4883,42.7854,24.36,90,90,2.13,SO,1730745026
331,mahina,-17.5065,-149.489,26.87,69,0,2.57,PF,1730745027
332,kone,-21.0595,164.8658,21.79,82,76,1.56,NC,1730745028
333,puerto madero,14.7208,-92.4215,31.11,66,40,2.57,MX,1730745029
334,constantia,44.1833,28.65,7.61,62,0,8.38,RO,1730745030
335,dowlatabad,32.7998,51.6955,12.82,58,0,4.12,IR,1730745031
336,brokopondo,4.75,-55.1667,33.45,46,100,1.99,SR,1730745033
337,padang,-0.9492,100.3543,26.03,90,90,1.3,ID,1730745034
338,puerto ayacucho,5.6639,-67.6236,30.02,69,100,1.16,VE,1730745035
339,richards bay,-28.783,32.0377,20.71,71,97,6.74,ZA,1730745036
340,walvis bay,-22.9575,14.5053,15.53,72,6,7.72,NA,1730745037
341,saquarema,-22.92,-42.5103,24.07,82,100,4.65,BR,1730745038
342,brisas de zicatela,15.8369,-97.0419,30.29,79,0,4.12,MX,1730745039
343,fort liberte,19.6678,-71.8397,29.9,69,100,3.61,HT,1730745040
344,vryburg,-26.9566,24.7284,23.04,15,100,7.29,ZA,1730745041
345,canto del llano,8.1761,-80.973,27.03,88,100,3.58,PA,1730745042
346,promyshlennaya,54.9159,85.6385,9.1,72,100,6.67,RU,1730745043
347,kirando,-7.4167,30.6,25.79,66,75,0.67,TZ,1730745045
348,amos,48.5669,-78.1162,1.99,88,100,4.87,CA,1730745046
